seq,t,dt,source,eventType,accelX,accelY,accelZ,accelGX,accelGY,accelGZ,rotAlpha,rotBeta,rotGamma,orientAlpha,orientBeta,orientGamma,absolute,interval,label
1,1780973629643,6.5,phone,sample,0,0,-0.1,0.2,1.1,9.700000000000001,-1.5,-2.4000000000000004,4.300000000000001,46.800000000000004,6.6000000000000005,-1.5,False,16,
2,1780973629676,39.399999998509884,phone,sample,0,-0.1,0.2,0.2,1.1,10,0.2,-4.1,5.8,46.900000000000006,6.6000000000000005,-1.6,False,16,
3,1780973629709,73.19999999925494,phone,sample,-0.1,0.1,0,0.1,1.2000000000000002,9.8,-1.6,-0.1,7.200000000000001,47.2,6.5,-1.7000000000000002,False,16,
4,1780973629742,106.19999999925494,phone,sample,-0.30000000000000004,0.4,0,0,1.5,9.700000000000001,-1.4,5.8,11.8,47.400000000000006,6.5,-1.5,False,16,
5,1780973629776,140,phone,sample,0,0.2,-0.1,0.2,1.3,9.600000000000001,-0.1,14.200000000000001,13.700000000000001,47.900000000000006,6.5,-1.3,False,16,
6,1780973629809,173.19999999925494,phone,sample,0,-0.1,0.2,0.2,1.1,10,-0.7,10,14.100000000000001,48.300000000000004,6.6000000000000005,-0.9,False,16,
7,1780973629843,206.39999999850988,phone,sample,0.2,0,0.1,0.30000000000000004,1.1,9.9,-2.1,6.8,15.100000000000001,48.800000000000004,6.5,-0.8,False,16,
8,1780973629876,239.5,phone,sample,1,0,0.1,1.2000000000000002,1.1,9.9,-2,-1.5,3.4,49.2,6.5,-0.9,False,16,
9,1780973629909,272.80000000074506,phone,sample,-1.3,-0.9,-0.6000000000000001,-1.1,0.2,9.1,-15.5,15.8,5.2,49.2,6.2,-1,False,16,
10,1780973629942,306.19999999925494,phone,sample,0,0.5,0.9,0.1,1.5,10.600000000000001,-5,1.1,-0.7,49.400000000000006,5.7,-0.5,False,16,
11,1780973629976,339.3999999985099,phone,sample,-0.30000000000000004,0,0,-0.2,0.9,9.8,-2.4000000000000004,-1.6,6.9,49.400000000000006,5.5,-0.5,False,16,
12,1780973630009,373,phone,sample,0.2,-0.1,-0.1,0.30000000000000004,0.8,9.700000000000001,-7.6,6.300000000000001,4.9,49.6,5.4,-0.5,False,16,
13,1780973630043,407,phone,sample,-0.4,0.1,0.2,-0.4,1,10,-7.6,0.8,1.9,49.800000000000004,5.1000000000000005,-0.2,False,16,
14,1780973630076,439.30000000074506,phone,sample,0,0.2,0.7000000000000001,0,1,10.5,-3.2,-11.2,-2.6,49.800000000000004,5,-0.30000000000000004,False,16,
15,1780973630109,472.8999999985099,phone,sample,-0.6000000000000001,-0.1,0.2,-0.4,0.8,10,-1.9,-22.000000000000004,4.4,49.7,4.9,-0.9,False,16,
16,1780973630142,506.1000000014901,phone,sample,-0.6000000000000001,0.4,-1.2000000000000002,-0.4,1.2000000000000002,8.6,-17.7,10.700000000000001,19.799999999999997,50,4.7,-1.2000000000000002,False,16,
17,1780973630177,540.8999999985099,phone,sample,-0.1,0.6000000000000001,-0.6000000000000001,0.1,1.3,9.200000000000001,-30.200000000000003,15.399999999999999,29.800000000000004,51.300000000000004,3.5,-0.6000000000000001,False,16,
18,1780973630211,574.6999999992549,phone,sample,0,0.1,-0.1,0.1,0.6000000000000001,9.700000000000001,-32.400000000000006,7.200000000000001,39.599999999999994,51.800000000000004,3,-0.5,False,16,
19,1780973630245,608.5,phone,sample,-0.30000000000000004,0.2,0,-0.2,0.6000000000000001,9.8,-31.9,-5.300000000000001,45.7,53.1,2,-0.5,False,16,
20,1780973630278,641.5,phone,sample,-0.5,0.2,0.6000000000000001,-0.4,0.4,10.4,-28.200000000000003,-4.9,59.20000000000001,55.7,0.7000000000000001,-0.7000000000000001,False,16,
21,1780973630309,672.8000000007451,phone,sample,-0.5,0.1,0.7000000000000001,-0.30000000000000004,0.2,10.5,-15.700000000000001,-8.5,71.30000000000001,56.800000000000004,0.30000000000000004,-0.7000000000000001,False,16,
22,1780973630342,706.1999999992549,phone,sample,-0.4,0.1,0.6000000000000001,-0.2,0,10.4,-11.1,-24.200000000000003,73.7,59.1,-0.1,-1.1,False,16,
23,1780973630379,742.5,phone,sample,-0.30000000000000004,-0.4,0,0.1,-0.5,9.8,-13.100000000000001,-13.700000000000001,87.7,64.3,-1,-2.2,False,16,
24,1780973630410,774.3000000007451,phone,sample,0,-0.7000000000000001,0,0.30000000000000004,-0.8,9.8,-13.399999999999999,-11.700000000000001,90.6,64.3,-1,-2.2,False,16,
25,1780973630442,806.3000000007451,phone,sample,-0.1,-0.7000000000000001,0.5,0.4,-1,10.3,-11.1,-7,93.7,68.60000000000001,-1.8,-2.5,False,16,
26,1780973630476,839.8000000007451,phone,sample,0.5,-0.4,0.2,0.9,-0.8,9.9,0.30000000000000004,-14.5,95.4,71.7,-2.3000000000000003,-2.7,False,16,
27,1780973630509,872.8000000007451,phone,sample,0.2,-0.30000000000000004,0.5,0.7000000000000001,-0.7000000000000001,10.3,5.7,-4,91.8,74.7,-2.4000000000000004,-2.9000000000000004,False,16,
28,1780973630542,906.3000000007451,phone,sample,0,-0.1,-0.1,0.5,-0.5,9.700000000000001,10,-9.600000000000001,98.2,77.7,-2.2,-2.9000000000000004,False,16,
29,1780973630576,939.8999999985099,phone,sample,-0.2,-0.2,-0.1,0.30000000000000004,-0.6000000000000001,9.700000000000001,1.9,-1.3,113.00000000000001,81,-2.3000000000000003,-3,False,16,
30,1780973630609,972.6000000014901,phone,sample,0.1,-0.6000000000000001,0.5,0.6000000000000001,-1,10.3,11.900000000000002,1.9,116.5,84.7,-2.4000000000000004,-2.8000000000000003,False,16,
31,1780973630642,1006.3000000007451,phone,sample,0.2,-0.6000000000000001,-0.1,0.7000000000000001,-1,9.700000000000001,15.700000000000001,-21.8,111.20000000000002,88.4,-2.1,-2.9000000000000004,False,16,
32,1780973630677,1040.5,phone,sample,0.1,-0.30000000000000004,-0.30000000000000004,0.7000000000000001,-0.7000000000000001,9.5,9.700000000000001,-14.900000000000002,107.7,91.9,-2,-3.5,False,16,
33,1780973630710,1073.5,phone,sample,0.1,-0.4,0.1,0.7000000000000001,-0.7000000000000001,9.9,8.700000000000001,-15.299999999999999,100.6,95.30000000000001,-2,-3.8000000000000003,False,16,
34,1780973630743,1106.8999999985099,phone,sample,0.2,-0.4,-0.1,0.9,-0.8,9.700000000000001,4.2,-8.2,94.5,98.5,-2.4000000000000004,-4.2,False,16,
35,1780973630776,1139.5,phone,sample,0.4,-0.1,-0.4,1.2000000000000002,-0.6000000000000001,9.4,-2.4000000000000004,14.300000000000002,86.60000000000001,101.5,-2.7,-4.3,False,16,
36,1780973630809,1173,phone,sample,-0.2,-0.6000000000000001,0.4,0.4,-1.1,10.100000000000001,-13.000000000000002,15.2,93.89999999999999,104.30000000000001,-3.1,-3.7,False,16,
37,1780973630843,1206.3999999985099,phone,sample,-1.5,-0.2,0.7000000000000001,-1,-0.8,10.5,2,-35.699999999999996,130.70000000000002,107.5,-3.7,-3.3000000000000003,False,16,
38,1780973630876,1239.6000000014901,phone,sample,0.5,0,0.2,1.3,-0.7000000000000001,9.9,15.8,-34.1,144.70000000000002,114,-3.8000000000000003,-4.4,False,16,
39,1780973630909,1273.300000000745,phone,sample,1.4000000000000001,-0.1,-0.5,2.3000000000000003,-0.6000000000000001,9.3,27,-34.1,133.20000000000002,118.60000000000001,-3.5,-5.300000000000001,False,16,
40,1780973630943,1306.3999999985099,phone,sample,1.7000000000000002,0.5,-0.9,2.7,-0.1,8.8,19.6,-15.2,85.5,122.30000000000001,-3,-6.1000000000000005,False,16,
41,1780973630976,1339.3999999985099,phone,sample,2.3000000000000003,1.1,-0.4,3.3000000000000003,0.6000000000000001,9.3,8.700000000000001,18.1,38.800000000000004,124.5,-2.7,-6.2,False,16,
42,1780973631009,1372.699999999255,phone,sample,1.2000000000000002,1.1,0.2,2.1,0.6000000000000001,10,9.8,33.9,-1.1,125.2,-2.4000000000000004,-5.6000000000000005,False,16,
43,1780973631044,1408.199999999255,phone,sample,0.2,1.3,0.1,1,1,9.9,3.4,8.2,-19.1,124.80000000000001,-1.9000000000000001,-4.6000000000000005,False,16,
44,1780973631076,1440.199999999255,phone,sample,0.6000000000000001,0.9,0.1,1.4000000000000001,0.7000000000000001,9.9,3.8,0.2,-30.1,124.5,-1.7000000000000002,-4.6000000000000005,False,16,
45,1780973631110,1473.3999999985099,phone,sample,0.2,0.5,-0.1,1,0.30000000000000004,9.700000000000001,1.6,3.5,-45.6,123.30000000000001,-1.4000000000000001,-4.7,False,16,
46,1780973631143,1506.5,phone,sample,-0.30000000000000004,0,-0.30000000000000004,0.5,-0.2,9.4,-0.6000000000000001,17,-38.900000000000006,121.9,-1.1,-4.6000000000000005,False,16,
47,1780973631176,1539.5,phone,sample,0.2,-0.7000000000000001,0,0.9,-0.9,9.700000000000001,-9,18.700000000000003,-29,120.7,-1,-4.1000000000000005,False,16,
48,1780973631210,1573.699999999255,phone,sample,-0.8,-1.7000000000000002,0.4,-0.2,-1.9000000000000001,10.100000000000001,-17,1.6,-0.1,119.80000000000001,-1.3,-3.6,False,16,
49,1780973631244,1607.699999999255,phone,sample,-0.30000000000000004,-1.3,0.8,0.30000000000000004,-1.7000000000000002,10.600000000000001,-21.900000000000002,-6.4,32.5,121,-2.9000000000000004,-3.7,False,16,
50,1780973631276,1639.699999999255,phone,sample,0,-0.1,0.8,0.7000000000000001,-0.6000000000000001,10.600000000000001,-12.4,-27.400000000000002,46.800000000000004,121.7,-3.2,-4.1000000000000005,False,16,
51,1780973631309,1673.1000000014901,phone,sample,1,1.5,0,1.9000000000000001,0.9,9.8,8.2,-18.5,35.599999999999994,122.4,-3.3000000000000003,-4.5,False,16,
52,1780973631342,1706.300000000745,phone,sample,1,2.8000000000000003,-0.1,1.8,2.3000000000000003,9.700000000000001,26.6,10.8,-12.600000000000001,123.5,-2.7,-4.9,False,16,
53,1780973631376,1739.3999999985099,phone,sample,1.2000000000000002,2.3000000000000003,-0.4,2,2,9.3,37.9,24.8,-52.5,122.7,-1.4000000000000001,-4.6000000000000005,False,16,
54,1780973631409,1772.8999999985099,phone,sample,0.30000000000000004,1.4000000000000001,-0.9,1,1.5,8.9,28.800000000000004,40.6,-82,120.7,0.2,-3.7,False,16,
55,1780973631442,1806.199999999255,phone,sample,-1.3,-0.4,-0.2,-0.9,-0.2,9.600000000000001,11.6,16.1,-75.00000000000001,118.10000000000001,1.2000000000000002,-2.5,False,16,
